IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.242.79.71,2087,true,HKG,Asia Pacific,Hong Kong,59 ms,11032 kB/s
47.254.66.75,443,true,SJC,North America,San Jose,180 ms,8435 kB/s
8.222.136.247,2087,true,SIN,Asia Pacific,Singapore,234 ms,7806 kB/s
8.219.111.147,2083,true,SIN,Asia Pacific,Singapore,212 ms,7626 kB/s
47.236.5.223,2083,true,SIN,Asia Pacific,Singapore,222 ms,7080 kB/s
47.237.8.82,8443,true,SIN,Asia Pacific,Singapore,220 ms,6663 kB/s
8.219.11.158,2083,true,SIN,Asia Pacific,Singapore,229 ms,6644 kB/s
47.236.10.100,2083,true,SIN,Asia Pacific,Singapore,230 ms,6522 kB/s
8.219.111.147,2087,true,SIN,Asia Pacific,Singapore,212 ms,6519 kB/s
47.245.118.70,2083,true,SIN,Asia Pacific,Singapore,258 ms,6441 kB/s
47.236.7.106,8443,true,SIN,Asia Pacific,Singapore,220 ms,6338 kB/s
47.236.149.107,2083,true,SIN,Asia Pacific,Singapore,232 ms,6311 kB/s
47.236.97.90,2087,true,SIN,Asia Pacific,Singapore,230 ms,6307 kB/s
8.219.209.14,2087,true,SIN,Asia Pacific,Singapore,261 ms,6163 kB/s
47.236.254.120,2096,true,SIN,Asia Pacific,Singapore,220 ms,6062 kB/s
47.236.167.231,2096,true,SIN,Asia Pacific,Singapore,220 ms,6052 kB/s
47.236.172.95,8443,true,SIN,Asia Pacific,Singapore,236 ms,6030 kB/s
47.236.167.231,2083,true,SIN,Asia Pacific,Singapore,242 ms,5999 kB/s
47.236.87.246,2087,true,SIN,Asia Pacific,Singapore,214 ms,5992 kB/s
47.236.158.158,2053,true,SIN,Asia Pacific,Singapore,228 ms,5973 kB/s
47.236.171.205,2053,true,SIN,Asia Pacific,Singapore,245 ms,5912 kB/s
47.236.149.107,2096,true,SIN,Asia Pacific,Singapore,239 ms,5910 kB/s
47.236.93.176,2087,true,SIN,Asia Pacific,Singapore,219 ms,5823 kB/s
8.219.11.158,2096,true,SIN,Asia Pacific,Singapore,218 ms,5816 kB/s
8.219.200.145,8443,true,SIN,Asia Pacific,Singapore,226 ms,5766 kB/s
47.236.144.196,2087,true,SIN,Asia Pacific,Singapore,245 ms,5757 kB/s
47.236.121.7,2087,true,SIN,Asia Pacific,Singapore,210 ms,5756 kB/s
47.236.168.17,2087,true,SIN,Asia Pacific,Singapore,240 ms,5704 kB/s
47.236.167.231,8443,true,SIN,Asia Pacific,Singapore,249 ms,5633 kB/s
47.236.144.156,2087,true,SIN,Asia Pacific,Singapore,240 ms,5631 kB/s
47.236.75.113,2083,true,SIN,Asia Pacific,Singapore,237 ms,5622 kB/s
47.236.164.215,2087,true,SIN,Asia Pacific,Singapore,229 ms,5612 kB/s
47.236.97.90,2053,true,SIN,Asia Pacific,Singapore,218 ms,5579 kB/s
47.236.165.25,2083,true,SIN,Asia Pacific,Singapore,217 ms,5556 kB/s
8.219.170.180,2053,true,SIN,Asia Pacific,Singapore,241 ms,5547 kB/s
47.236.87.246,8443,true,SIN,Asia Pacific,Singapore,220 ms,5524 kB/s
47.236.254.120,2087,true,SIN,Asia Pacific,Singapore,235 ms,5480 kB/s
47.236.7.106,2096,true,SIN,Asia Pacific,Singapore,258 ms,5450 kB/s
47.236.144.208,8443,true,SIN,Asia Pacific,Singapore,232 ms,5295 kB/s
47.236.180.51,2053,true,SIN,Asia Pacific,Singapore,257 ms,5282 kB/s
47.236.172.95,2087,true,SIN,Asia Pacific,Singapore,213 ms,5247 kB/s
47.236.253.41,2087,true,SIN,Asia Pacific,Singapore,235 ms,5242 kB/s
8.219.194.170,2083,true,SIN,Asia Pacific,Singapore,216 ms,5227 kB/s
47.236.144.156,2096,true,SIN,Asia Pacific,Singapore,226 ms,5202 kB/s
47.236.174.206,2053,true,SIN,Asia Pacific,Singapore,236 ms,5202 kB/s
47.236.172.71,2087,true,SIN,Asia Pacific,Singapore,241 ms,5173 kB/s
47.236.149.107,2053,true,SIN,Asia Pacific,Singapore,213 ms,5167 kB/s
47.236.87.246,2096,true,SIN,Asia Pacific,Singapore,245 ms,5159 kB/s
47.236.104.98,2096,true,SIN,Asia Pacific,Singapore,239 ms,5158 kB/s
8.219.170.180,2096,true,SIN,Asia Pacific,Singapore,239 ms,5121 kB/s
47.236.144.208,2096,true,SIN,Asia Pacific,Singapore,219 ms,5060 kB/s
47.236.180.51,2083,true,SIN,Asia Pacific,Singapore,250 ms,5054 kB/s
47.236.174.206,2087,true,SIN,Asia Pacific,Singapore,285 ms,5042 kB/s
47.236.166.131,2087,true,SIN,Asia Pacific,Singapore,211 ms,5036 kB/s
8.219.11.158,2087,true,SIN,Asia Pacific,Singapore,215 ms,5009 kB/s
47.236.117.48,2053,true,SIN,Asia Pacific,Singapore,222 ms,4968 kB/s
47.236.253.41,2053,true,SIN,Asia Pacific,Singapore,238 ms,4958 kB/s
47.236.172.95,2083,true,SIN,Asia Pacific,Singapore,250 ms,4947 kB/s
8.219.93.5,2087,true,SIN,Asia Pacific,Singapore,231 ms,4914 kB/s
47.236.253.41,2096,true,SIN,Asia Pacific,Singapore,228 ms,4905 kB/s
8.219.215.214,8443,true,SIN,Asia Pacific,Singapore,220 ms,4905 kB/s
