IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.144.208,2053,true,SIN,Asia Pacific,Singapore,245 ms,4879 kB/s
8.219.200.145,2096,true,SIN,Asia Pacific,Singapore,239 ms,4875 kB/s
47.236.158.158,8443,true,SIN,Asia Pacific,Singapore,237 ms,4855 kB/s
47.236.166.131,8443,true,SIN,Asia Pacific,Singapore,224 ms,4853 kB/s
47.236.104.98,8443,true,SIN,Asia Pacific,Singapore,236 ms,4829 kB/s
8.219.140.63,443,true,SIN,Asia Pacific,Singapore,233 ms,4821 kB/s
47.237.8.82,2053,true,SIN,Asia Pacific,Singapore,248 ms,4820 kB/s
8.222.136.247,2083,true,SIN,Asia Pacific,Singapore,221 ms,4814 kB/s
8.219.11.158,8443,true,SIN,Asia Pacific,Singapore,226 ms,4797 kB/s
47.236.144.156,2083,true,SIN,Asia Pacific,Singapore,241 ms,4788 kB/s
47.236.149.107,2087,true,SIN,Asia Pacific,Singapore,243 ms,4767 kB/s
47.236.164.215,2083,true,SIN,Asia Pacific,Singapore,216 ms,4736 kB/s
47.236.171.205,2096,true,SIN,Asia Pacific,Singapore,216 ms,4733 kB/s
47.236.117.48,2096,true,SIN,Asia Pacific,Singapore,237 ms,4718 kB/s
47.236.168.17,2053,true,SIN,Asia Pacific,Singapore,220 ms,4715 kB/s
8.219.215.214,2096,true,SIN,Asia Pacific,Singapore,234 ms,4708 kB/s
8.219.215.214,2053,true,SIN,Asia Pacific,Singapore,216 ms,4694 kB/s
47.236.123.133,2096,true,SIN,Asia Pacific,Singapore,229 ms,4689 kB/s
47.236.83.239,2053,true,SIN,Asia Pacific,Singapore,213 ms,4674 kB/s
47.236.149.107,8443,true,SIN,Asia Pacific,Singapore,231 ms,4638 kB/s
47.236.202.91,2083,true,SIN,Asia Pacific,Singapore,236 ms,4636 kB/s
47.236.7.106,2087,true,SIN,Asia Pacific,Singapore,232 ms,4615 kB/s
47.236.130.95,2096,true,SIN,Asia Pacific,Singapore,235 ms,4590 kB/s
8.219.93.5,2083,true,SIN,Asia Pacific,Singapore,234 ms,4564 kB/s
47.236.202.91,2087,true,SIN,Asia Pacific,Singapore,216 ms,4564 kB/s
47.236.174.206,2083,true,SIN,Asia Pacific,Singapore,224 ms,4540 kB/s
47.236.83.239,2096,true,SIN,Asia Pacific,Singapore,217 ms,4527 kB/s
8.219.194.170,2096,true,SIN,Asia Pacific,Singapore,243 ms,4483 kB/s
47.236.10.100,2096,true,SIN,Asia Pacific,Singapore,236 ms,4482 kB/s
47.236.130.95,2053,true,SIN,Asia Pacific,Singapore,215 ms,4365 kB/s
47.236.171.205,2083,true,SIN,Asia Pacific,Singapore,242 ms,4364 kB/s
47.236.144.48,2096,true,SIN,Asia Pacific,Singapore,215 ms,4355 kB/s
47.236.117.48,2087,true,SIN,Asia Pacific,Singapore,231 ms,4337 kB/s
8.219.111.147,2096,true,SIN,Asia Pacific,Singapore,225 ms,4336 kB/s
47.236.150.13,2096,true,SIN,Asia Pacific,Singapore,237 ms,4302 kB/s
47.236.121.7,2053,true,SIN,Asia Pacific,Singapore,217 ms,4297 kB/s
47.236.158.158,2083,true,SIN,Asia Pacific,Singapore,246 ms,4296 kB/s
8.219.200.145,2087,true,SIN,Asia Pacific,Singapore,234 ms,4275 kB/s
8.219.140.63,2083,true,SIN,Asia Pacific,Singapore,233 ms,4274 kB/s
47.236.5.223,2087,true,SIN,Asia Pacific,Singapore,224 ms,4264 kB/s
47.236.93.176,2053,true,SIN,Asia Pacific,Singapore,252 ms,4258 kB/s
8.219.170.180,2083,true,SIN,Asia Pacific,Singapore,239 ms,4257 kB/s
47.236.104.98,2083,true,SIN,Asia Pacific,Singapore,212 ms,4254 kB/s
47.236.130.95,8443,true,SIN,Asia Pacific,Singapore,223 ms,4242 kB/s
47.236.169.141,2087,true,SIN,Asia Pacific,Singapore,219 ms,4225 kB/s
8.219.111.147,2053,true,SIN,Asia Pacific,Singapore,218 ms,4191 kB/s
8.219.111.147,8443,true,SIN,Asia Pacific,Singapore,230 ms,4191 kB/s
47.236.130.95,2087,true,SIN,Asia Pacific,Singapore,228 ms,4181 kB/s
47.236.104.11,2096,true,SIN,Asia Pacific,Singapore,218 ms,4135 kB/s
47.236.7.106,2083,true,SIN,Asia Pacific,Singapore,222 ms,4117 kB/s
8.222.136.247,2053,true,SIN,Asia Pacific,Singapore,217 ms,4111 kB/s
8.219.140.63,2087,true,SIN,Asia Pacific,Singapore,218 ms,4060 kB/s
47.236.104.11,2083,true,SIN,Asia Pacific,Singapore,247 ms,4024 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,222 ms,3996 kB/s
47.236.158.158,2087,true,SIN,Asia Pacific,Singapore,217 ms,3971 kB/s
8.219.200.145,2053,true,SIN,Asia Pacific,Singapore,219 ms,3959 kB/s
8.219.140.63,2096,true,SIN,Asia Pacific,Singapore,234 ms,3931 kB/s
47.236.10.100,8443,true,SIN,Asia Pacific,Singapore,218 ms,3850 kB/s
47.236.166.131,2096,true,SIN,Asia Pacific,Singapore,226 ms,3820 kB/s
47.236.144.196,8443,true,SIN,Asia Pacific,Singapore,242 ms,3794 kB/s
47.236.10.100,2087,true,SIN,Asia Pacific,Singapore,215 ms,3788 kB/s
47.236.93.176,2083,true,SIN,Asia Pacific,Singapore,223 ms,3774 kB/s
8.219.11.158,2053,true,SIN,Asia Pacific,Singapore,226 ms,3767 kB/s
47.242.79.71,2096,true,HKG,Asia Pacific,Hong Kong,63 ms,3762 kB/s
47.236.169.15,2096,true,SIN,Asia Pacific,Singapore,221 ms,3720 kB/s
47.236.169.15,2083,true,SIN,Asia Pacific,Singapore,226 ms,3716 kB/s
47.236.150.13,2053,true,SIN,Asia Pacific,Singapore,221 ms,3708 kB/s
47.236.169.141,8443,true,SIN,Asia Pacific,Singapore,236 ms,3695 kB/s
47.236.130.95,2083,true,SIN,Asia Pacific,Singapore,233 ms,3688 kB/s
47.236.172.71,2053,true,SIN,Asia Pacific,Singapore,227 ms,3650 kB/s
47.236.7.106,443,true,SIN,Asia Pacific,Singapore,244 ms,3649 kB/s
47.236.180.51,2096,true,SIN,Asia Pacific,Singapore,223 ms,3641 kB/s
47.236.144.156,2053,true,SIN,Asia Pacific,Singapore,230 ms,3611 kB/s
47.236.97.90,8443,true,SIN,Asia Pacific,Singapore,226 ms,3606 kB/s
47.236.253.41,2083,true,SIN,Asia Pacific,Singapore,236 ms,3598 kB/s
47.236.254.120,8443,true,SIN,Asia Pacific,Singapore,216 ms,3559 kB/s
47.236.202.91,8443,true,SIN,Asia Pacific,Singapore,220 ms,3532 kB/s
8.219.93.5,2096,true,SIN,Asia Pacific,Singapore,228 ms,3532 kB/s
8.219.111.147,443,true,SIN,Asia Pacific,Singapore,234 ms,3524 kB/s
47.237.8.82,2083,true,SIN,Asia Pacific,Singapore,240 ms,3515 kB/s
47.245.118.70,2087,true,SIN,Asia Pacific,Singapore,227 ms,3468 kB/s
47.236.167.231,2053,true,SIN,Asia Pacific,Singapore,238 ms,3452 kB/s
8.219.93.5,8443,true,SIN,Asia Pacific,Singapore,244 ms,3434 kB/s
47.236.104.98,443,true,SIN,Asia Pacific,Singapore,229 ms,3388 kB/s
47.236.169.15,2087,true,SIN,Asia Pacific,Singapore,215 ms,3360 kB/s
47.236.123.133,2083,true,SIN,Asia Pacific,Singapore,212 ms,3355 kB/s
8.219.209.14,2083,true,SIN,Asia Pacific,Singapore,218 ms,3279 kB/s
47.236.144.156,8443,true,SIN,Asia Pacific,Singapore,223 ms,3240 kB/s
47.236.75.113,2053,true,SIN,Asia Pacific,Singapore,213 ms,3234 kB/s
47.236.97.90,2083,true,SIN,Asia Pacific,Singapore,210 ms,3226 kB/s
47.236.164.215,443,true,SIN,Asia Pacific,Singapore,242 ms,3126 kB/s
47.236.169.141,2083,true,SIN,Asia Pacific,Singapore,223 ms,3123 kB/s
47.245.118.70,2096,true,SIN,Asia Pacific,Singapore,235 ms,3114 kB/s
8.219.200.145,2083,true,SIN,Asia Pacific,Singapore,226 ms,3104 kB/s
47.236.121.7,2083,true,SIN,Asia Pacific,Singapore,236 ms,3078 kB/s
47.237.8.82,2096,true,SIN,Asia Pacific,Singapore,239 ms,3038 kB/s
47.236.180.51,2087,true,SIN,Asia Pacific,Singapore,236 ms,3035 kB/s
47.236.83.239,2087,true,SIN,Asia Pacific,Singapore,234 ms,3033 kB/s
47.236.85.11,8443,true,SIN,Asia Pacific,Singapore,211 ms,2953 kB/s
47.236.113.184,443,true,SIN,Asia Pacific,Singapore,256 ms,2950 kB/s
47.236.123.133,2087,true,SIN,Asia Pacific,Singapore,219 ms,2929 kB/s
47.245.118.70,2053,true,SIN,Asia Pacific,Singapore,228 ms,2817 kB/s
47.236.144.196,2083,true,SIN,Asia Pacific,Singapore,218 ms,2815 kB/s
47.236.93.176,8443,true,SIN,Asia Pacific,Singapore,230 ms,2812 kB/s
47.236.121.7,8443,true,SIN,Asia Pacific,Singapore,234 ms,2799 kB/s
8.219.170.180,2087,true,SIN,Asia Pacific,Singapore,248 ms,2780 kB/s
47.236.116.182,2096,true,SIN,Asia Pacific,Singapore,242 ms,2754 kB/s
47.236.123.133,2053,true,SIN,Asia Pacific,Singapore,229 ms,2748 kB/s
47.237.8.82,2087,true,SIN,Asia Pacific,Singapore,241 ms,2732 kB/s
47.236.254.120,2053,true,SIN,Asia Pacific,Singapore,232 ms,2601 kB/s
47.236.125.62,8443,true,NRT,Asia Pacific,Tokyo,306 ms,2556 kB/s
47.236.104.98,2087,true,SIN,Asia Pacific,Singapore,231 ms,2441 kB/s
47.236.97.90,2096,true,SIN,Asia Pacific,Singapore,224 ms,2417 kB/s
47.236.164.215,8443,true,SIN,Asia Pacific,Singapore,218 ms,2393 kB/s
47.236.125.62,2083,true,NRT,Asia Pacific,Tokyo,308 ms,2076 kB/s
47.89.191.155,443,true,IAD,North America,Ashburn,244 ms,1836 kB/s
47.236.7.106,2053,true,SIN,Asia Pacific,Singapore,233 ms,1653 kB/s
47.242.79.71,8443,true,HKG,Asia Pacific,Hong Kong,65 ms,1576 kB/s
8.219.194.170,2087,true,SIN,Asia Pacific,Singapore,238 ms,1403 kB/s
47.242.79.71,2083,true,HKG,Asia Pacific,Hong Kong,72 ms,1103 kB/s
47.236.116.182,2053,true,SIN,Asia Pacific,Singapore,245 ms,1005 kB/s
8.211.11.93,443,true,FRA,Europe,Frankfurt,250 ms,892 kB/s
47.76.94.15,2083,true,HKG,Asia Pacific,Hong Kong,59 ms,726 kB/s
8.222.225.193,443,true,SIN,Asia Pacific,Singapore,220 ms,556 kB/s
47.242.79.71,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,546 kB/s
8.211.7.165,443,true,FRA,Europe,Frankfurt,264 ms,537 kB/s
47.254.151.57,443,true,FRA,Europe,Frankfurt,259 ms,438 kB/s
47.236.38.38,443,true,SIN,Asia Pacific,Singapore,220 ms,419 kB/s
47.236.14.118,443,true,SIN,Asia Pacific,Singapore,216 ms,412 kB/s
47.236.125.62,2096,true,NRT,Asia Pacific,Tokyo,326 ms,364 kB/s
8.219.140.63,2053,true,SIN,Asia Pacific,Singapore,241 ms,316 kB/s
8.211.10.182,443,true,FRA,Europe,Frankfurt,255 ms,301 kB/s
47.76.94.15,8443,true,HKG,Asia Pacific,Hong Kong,65 ms,291 kB/s
47.74.58.205,2096,true,NRT,Asia Pacific,Tokyo,130 ms,166 kB/s
47.74.58.205,8443,true,NRT,Asia Pacific,Tokyo,159 ms,141 kB/s
47.254.66.75,80,true,SJC,North America,San Jose,177 ms,80 kB/s
47.74.58.205,2083,true,NRT,Asia Pacific,Tokyo,130 ms,77 kB/s
47.88.101.9,80,true,SJC,North America,San Jose,177 ms,70 kB/s
47.236.202.91,2096,true,SIN,Asia Pacific,Singapore,218 ms,0 kB/s
47.254.143.183,443,true,FRA,Europe,Frankfurt,281 ms,0 kB/s
47.254.144.149,443,true,FRA,Europe,Frankfurt,277 ms,0 kB/s
47.236.75.113,2096,true,SIN,Asia Pacific,Singapore,213 ms,0 kB/s
47.76.94.15,2096,true,HKG,Asia Pacific,Hong Kong,59 ms,0 kB/s
47.236.172.95,2053,true,SIN,Asia Pacific,Singapore,231 ms,0 kB/s
47.236.166.131,2083,true,SIN,Asia Pacific,Singapore,216 ms,0 kB/s
47.236.150.13,8443,true,SIN,Asia Pacific,Singapore,244 ms,0 kB/s
47.236.158.158,2096,true,SIN,Asia Pacific,Singapore,222 ms,0 kB/s
47.236.117.48,443,true,SIN,Asia Pacific,Singapore,211 ms,0 kB/s
47.236.144.208,2083,true,SIN,Asia Pacific,Singapore,218 ms,0 kB/s
47.236.116.182,2087,true,SIN,Asia Pacific,Singapore,240 ms,0 kB/s
47.236.104.11,2087,true,SIN,Asia Pacific,Singapore,230 ms,0 kB/s
47.236.116.182,443,true,SIN,Asia Pacific,Singapore,230 ms,0 kB/s
47.236.116.182,8443,true,SIN,Asia Pacific,Singapore,223 ms,0 kB/s
8.219.194.170,2053,true,SIN,Asia Pacific,Singapore,234 ms,0 kB/s
