IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.164.215,2083,true,SG,Asia Pacific,Singapore,255 ms,3666 kB/s
8.222.193.65,443,true,SG,Asia Pacific,Singapore,264 ms,3654 kB/s
47.236.180.51,2096,true,SG,Asia Pacific,Singapore,264 ms,3585 kB/s
47.236.146.249,8443,true,SG,Asia Pacific,Singapore,261 ms,3563 kB/s
47.76.33.40,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,3516 kB/s
47.236.180.51,2087,true,SG,Asia Pacific,Singapore,236 ms,3467 kB/s
47.236.93.176,2087,true,SG,Asia Pacific,Singapore,253 ms,3447 kB/s
47.236.85.11,8443,true,SG,Asia Pacific,Singapore,228 ms,3266 kB/s
47.236.118.216,2087,true,SG,Asia Pacific,Singapore,232 ms,3252 kB/s
47.236.93.176,2053,true,SG,Asia Pacific,Singapore,250 ms,3203 kB/s
47.236.146.249,443,true,SG,Asia Pacific,Singapore,223 ms,3160 kB/s
8.222.134.170,2096,true,SG,Asia Pacific,Singapore,228 ms,3140 kB/s
47.236.9.152,2096,true,SG,Asia Pacific,Singapore,246 ms,3127 kB/s
47.236.174.206,2083,true,SG,Asia Pacific,Singapore,240 ms,2930 kB/s
8.219.174.213,2083,true,SG,Asia Pacific,Singapore,237 ms,2927 kB/s
47.236.180.51,2053,true,SG,Asia Pacific,Singapore,241 ms,2853 kB/s
47.236.125.62,2083,true,NRT,Asia Pacific,Tokyo,296 ms,2845 kB/s
47.236.167.231,2087,true,SG,Asia Pacific,Singapore,230 ms,2826 kB/s
47.236.237.90,2087,true,SG,Asia Pacific,Singapore,226 ms,2791 kB/s
47.236.169.141,2083,true,SG,Asia Pacific,Singapore,251 ms,2678 kB/s
8.222.193.65,2087,true,SG,Asia Pacific,Singapore,226 ms,2575 kB/s
47.76.33.40,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,2412 kB/s
47.236.125.62,2053,true,NRT,Asia Pacific,Tokyo,308 ms,2377 kB/s
47.242.171.94,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,2274 kB/s
8.218.207.169,2083,true,HKG,Asia Pacific,Hong Kong,60 ms,2096 kB/s
47.236.149.107,2087,true,SG,Asia Pacific,Singapore,237 ms,2076 kB/s
47.237.10.1,8443,true,SG,Asia Pacific,Singapore,228 ms,2076 kB/s
47.236.117.48,2096,true,SG,Asia Pacific,Singapore,268 ms,1863 kB/s
47.236.174.206,2087,true,SG,Asia Pacific,Singapore,241 ms,1836 kB/s
47.236.93.176,2096,true,SG,Asia Pacific,Singapore,247 ms,1721 kB/s
47.236.93.176,8443,true,SG,Asia Pacific,Singapore,240 ms,1676 kB/s
47.76.77.103,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,1600 kB/s
8.217.90.154,443,true,HKG,Asia Pacific,Hong Kong,57 ms,1318 kB/s
8.219.100.168,2087,true,SG,Asia Pacific,Singapore,239 ms,1203 kB/s
47.238.235.163,443,true,HKG,Asia Pacific,Hong Kong,52 ms,1171 kB/s
47.76.94.15,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,1167 kB/s
47.236.125.62,2087,true,NRT,Asia Pacific,Tokyo,297 ms,1126 kB/s
47.76.146.1,2087,true,HKG,Asia Pacific,Hong Kong,58 ms,860 kB/s
47.236.253.41,8443,true,SG,Asia Pacific,Singapore,221 ms,818 kB/s
47.76.33.40,8443,true,HKG,Asia Pacific,Hong Kong,58 ms,697 kB/s
47.76.94.15,2083,true,HKG,Asia Pacific,Hong Kong,57 ms,643 kB/s
8.210.9.129,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,476 kB/s
8.210.9.129,443,true,HKG,Asia Pacific,Hong Kong,57 ms,374 kB/s
8.218.207.169,2096,true,HKG,Asia Pacific,Hong Kong,62 ms,323 kB/s
47.76.94.15,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,281 kB/s
47.76.33.40,2096,true,HKG,Asia Pacific,Hong Kong,59 ms,211 kB/s
47.76.146.1,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,144 kB/s
8.218.207.169,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,141 kB/s
47.76.146.1,2053,true,HKG,Asia Pacific,Hong Kong,58 ms,121 kB/s
47.76.77.103,8443,true,HKG,Asia Pacific,Hong Kong,65 ms,108 kB/s
47.57.14.118,443,true,SJC,North America,San Jose,63 ms,89 kB/s
47.57.245.232,443,true,SJC,North America,San Jose,65 ms,40 kB/s
47.76.94.15,2096,true,HKG,Asia Pacific,Hong Kong,61 ms,17 kB/s
8.210.92.27,443,true,HKG,Asia Pacific,Hong Kong,59 ms,14 kB/s
47.237.95.140,2087,true,SG,Asia Pacific,Singapore,226 ms,0 kB/s
47.236.171.205,2096,true,SG,Asia Pacific,Singapore,250 ms,0 kB/s
47.237.94.140,2053,true,SG,Asia Pacific,Singapore,251 ms,0 kB/s
8.219.174.213,2096,true,SG,Asia Pacific,Singapore,263 ms,0 kB/s
8.219.99.169,2083,true,SG,Asia Pacific,Singapore,236 ms,0 kB/s
47.242.171.94,8443,true,HKG,Asia Pacific,Hong Kong,69 ms,0 kB/s
47.237.92.26,2053,true,SG,Asia Pacific,Singapore,231 ms,0 kB/s
47.237.95.140,2096,true,SG,Asia Pacific,Singapore,254 ms,0 kB/s
47.236.10.182,2087,true,SG,Asia Pacific,Singapore,224 ms,0 kB/s
47.237.95.140,2083,true,SG,Asia Pacific,Singapore,238 ms,0 kB/s
47.236.253.41,2053,true,SG,Asia Pacific,Singapore,225 ms,0 kB/s
47.236.254.120,2096,true,SG,Asia Pacific,Singapore,236 ms,0 kB/s
47.76.77.103,2083,true,HKG,Asia Pacific,Hong Kong,64 ms,0 kB/s
47.237.92.26,2087,true,SG,Asia Pacific,Singapore,238 ms,0 kB/s
47.236.5.223,2087,true,SG,Asia Pacific,Singapore,220 ms,0 kB/s
47.236.83.239,2053,true,SG,Asia Pacific,Singapore,224 ms,0 kB/s
47.76.77.103,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,0 kB/s
47.76.159.146,2087,true,HKG,Asia Pacific,Hong Kong,59 ms,0 kB/s
47.236.170.225,2096,true,SG,Asia Pacific,Singapore,242 ms,0 kB/s
